numero_tst,numero_g1,trt_region,g1_codigo,g1_resultado,tst_resultado,tst_codigo,worker_outcome,core
00108350520155150026,00108350520155150026,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00108352015515
00002582720155090028,00002585320155090084,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00002582015509
10013533520155020363,10013539720155020601,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,10013532015502
00111797420155030040,00111795620155030143,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00111792015503
10011612220155020422,10011614320155020318,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,10011612015502
00013443120155120034,00013445320155120059,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00013442015512
00005759720155090004,00005757320155090012,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00005752015509
00014828620155020030,00014821720155020441,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00014822015502
00000371720165060182,00000373020165060016,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00000372016506
00008664920155060144,00008665220155060143,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00008662015506
00200268420155040251,00200260920155040761,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00200262015504
00002974620165120047,00002978720165120001,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00002972016512
00008313020155090072,00008319720155090664,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00008312015509
00008532820155190002,00008532820155190002,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00008532015519
00103043620155150084,00103042820155150022,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00103042015515
00004163220155050016,00004164420155050012,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00004162015505
00012319120155020087,00012318320155020025,UNKNOWN,219,Procedência,Desprovido,236,GANHOU,00012312015502
00104683420155030181,00104682320155030023,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00104682015503
00005309020155090684,00005303020155090122,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00005302015509
00101441820155150017,00101443620155150011,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00101442015515
00006699620155120057,00006699620155120057,UNKNOWN,220,Improcedência,Desprovido,236,PERDEU,00006692015512
