numero_processo,fluxo,worker_outcome,tst_resultado,tst_codigo,g1_resultado,g2_resultado,tem_g1,tem_g2
00011762520155120003,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006990520145090008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006416520155090008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01317327620155130007,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00018844620145090245,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00108350520155150026,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006238120155120001,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01317634820155130023,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01313563320155130026,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00029363420145030184,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00110311220145150025,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00115587520145150085,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00118088320155120012,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00119352920155150144,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006225220155090657,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002582720155090028,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10013533520155020363,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10008096320145020466,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00111797420155030040,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10011612220155020422,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00110937920145150113,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00012080920135040234,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00055804320135120051,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00019446020155110008,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000874920165120029,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00013443120155120034,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005759720155090004,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00003495120145090029,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00007116720145040231,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00014828620155020030,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00001023820145090654,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00003986120165120022,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00023024420145090322,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000809720115040015,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00006161020135120050,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00210190820145040011,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00107947620155120008,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00019998720135020054,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008999420135040231,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00011304920155120031,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00104175320135030032,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00116087320145150062,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00206169420145040025,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000103020155080209,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00003842420155030035,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004232620155030001,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10006847520145020311,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00255001220095150131,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00015202920145020032,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002932420115010521,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00104703120155030075,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00005931920135050031,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000371720165060182,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00012318920145120009,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00025704320155120011,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00023759320145020036,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00119124620135030093,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00105866020135010205,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00105828920155150002,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01315397920155130001,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00113627720135010070,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006545120155120050,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00003934120155080004,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006152720145020031,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00020168320145020444,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00025988720145080130,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10021472520145020320,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00012939520155110018,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00020689720145030138,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00108807920145150111,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008664920155060144,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00200268420155040251,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002974620165120047,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00014795220125050031,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00006004020155190002,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
10001625520145020341,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00106499620135010072,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00250911220145240066,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01310089020155130001,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008313020155090072,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00216816920145040011,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00115445920145150031,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00500109820165120011,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008030620145090005,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00023548020155090653,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00250646720145240021,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00011265220155170005,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00011707520145050026,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00017279020145090013,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00202553420145040007,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00016541020135150071,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
00019955620155110013,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00018753020135090242,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00002102920155090041,G2→TST,INDEFINIDO,Provido,237,,Provimento,False,True
01308190620155130004,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00015849720145020045,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00802000520145170131,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00013862520135090005,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00103341020145150051,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00105002320145010054,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
01305259420155130022,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00019277320145090021,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00021880720125020311,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00008532820155190002,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00000131520155090093,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00021131420105120002,G2→TST,INDEFINIDO,Provido,237,,Provimento em Parte,False,True
00115777720135180103,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00105637020145150147,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00103043620155150084,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00016815420145020027,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004023920155070001,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004303620125020038,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00003496720155120050,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00022706220115020088,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00003288520155020433,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00009254920135020037,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00004163220155050016,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00016164020135090014,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00020695020135090009,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00012319120155020087,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00003940620145020076,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
00018139720145020064,G2→TST,INDEFINIDO,Desprovido,236,,Negação de Seguimento,False,True
