numero_processo,g1_fonte,g1_resultado,g2_resultado,tst_resultado,worker_outcome,tem_dados_reais_g1,core
00011762520155120003,NENHUMA,,,Desprovido,PERDEU,False,00011762015512
00006990520145090008,NENHUMA,,,Desprovido,PERDEU,False,00006992014509
00006416520155090008,NENHUMA,,,Desprovido,PERDEU,False,00006412015509
01317327620155130007,NENHUMA,,,Desprovido,PERDEU,False,01317322015513
00018844620145090245,NENHUMA,,,Desprovido,PERDEU,False,00018842014509
00108350520155150026,NENHUMA,,,Desprovido,PERDEU,False,00108352015515
00006238120155120001,NENHUMA,,,Desprovido,PERDEU,False,00006232015512
01317634820155130023,NENHUMA,,,Desprovido,PERDEU,False,01317632015513
01313563320155130026,NENHUMA,,,Desprovido,PERDEU,False,01313562015513
00029363420145030184,NENHUMA,,,Desprovido,PERDEU,False,00029362014503
00110311220145150025,NENHUMA,,,Desprovido,PERDEU,False,00110312014515
00115587520145150085,NENHUMA,,,Desprovido,PERDEU,False,00115582014515
00118088320155120012,NENHUMA,,,Provido,GANHOU,False,00118082015512
00119352920155150144,NENHUMA,,,Desprovido,PERDEU,False,00119352015515
00006225220155090657,NENHUMA,,,Desprovido,PERDEU,False,00006222015509
00002582720155090028,NENHUMA,,,Desprovido,PERDEU,False,00002582015509
10013533520155020363,NENHUMA,,,Desprovido,PERDEU,False,10013532015502
10008096320145020466,NENHUMA,,,Desprovido,PERDEU,False,10008092014502
00111797420155030040,NENHUMA,,,Desprovido,PERDEU,False,00111792015503
10011612220155020422,NENHUMA,,,Desprovido,PERDEU,False,10011612015502
00110937920145150113,NENHUMA,,,Desprovido,PERDEU,False,00110932014515
00012080920135040234,NENHUMA,,,Desprovido,PERDEU,False,00012082013504
00055804320135120051,NENHUMA,,,Desprovido,PERDEU,False,00055802013512
00019446020155110008,NENHUMA,,,Desprovido,PERDEU,False,00019442015511
00000874920165120029,NENHUMA,,,Desprovido,PERDEU,False,00000872016512
00013443120155120034,NENHUMA,,,Desprovido,PERDEU,False,00013442015512
00005759720155090004,NENHUMA,,,Desprovido,PERDEU,False,00005752015509
00003495120145090029,NENHUMA,,,Provido,GANHOU,False,00003492014509
00007116720145040231,NENHUMA,,,Desprovido,PERDEU,False,00007112014504
00014828620155020030,NENHUMA,,,Desprovido,PERDEU,False,00014822015502
00001023820145090654,NENHUMA,,,Desprovido,PERDEU,False,00001022014509
00003986120165120022,NENHUMA,,,Desprovido,PERDEU,False,00003982016512
00023024420145090322,NENHUMA,,,Desprovido,PERDEU,False,00023022014509
